Wed Apr 20 22:42:42 2016    restats

         7305283 function calls (7196137 primitive calls) in 280.444 seconds

   Ordered by: cumulative time
   List reduced from 6426 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.060    0.060  280.457  280.457 localricci.py:1(<module>)
     1564    0.203    0.000  193.855    0.124 Ricci.py:47(coarseRicci)
     7820  127.421    0.016  127.421    0.016 {method 'dot' of 'numpy.ndarray' objects}
     1565    0.043    0.000   51.461    0.033 tools.py:229(sanitize)
     3128   49.387    0.016   49.601    0.016 Ricci.py:9(add_AB_to_C)
     1565    0.036    0.000   46.944    0.030 tools.py:166(metricize_fw)
     1565   43.227    0.028   43.283    0.028 tools.py:137(floyd_warshall)
    21899   37.895    0.002   38.616    0.002 necompiler.py:691(evaluate)
       81    0.009    0.000   13.131    0.162 tools.py:46(graph)
     1564    0.157    0.000    9.283    0.006 Laplacian.py:7(computeLaplaceMatrix)
       81    0.002    0.000    8.865    0.109 pyplot.py:266(pause)
     1564    0.034    0.000    7.763    0.005 Ricci.py:25(applyRicci)
       81    0.092    0.001    7.755    0.096 {method 'draw' of '_macosx.FigureCanvas' objects}
  6723/81    0.021    0.000    7.753    0.096 artist.py:59(draw_wrapper)
       81    0.003    0.000    7.752    0.096 figure.py:1075(draw)
       81    0.004    0.000    7.673    0.095 _base.py:2205(draw)
2725/2061    0.055    0.000    4.195    0.002 axis.py:67(__init__)
      162    0.005    0.000    3.742    0.023 axis.py:1098(draw)
       81    0.001    0.000    3.740    0.046 collections.py:812(draw)
       81    0.003    0.000    3.735    0.046 collections.py:257(draw)
       81    0.001    0.000    3.683    0.045 backend_macosx.py:66(draw_path_collection)
       81    3.674    0.045    3.674    0.045 {method 'draw_path_collection' of '_macosx.GraphicsContext' objects}
       83    0.013    0.000    3.328    0.040 _base.py:905(cla)
       82    0.001    0.000    3.275    0.040 pyplot.py:3537(cla)
      504    0.010    0.000    2.806    0.006 axis.py:711(cla)
